Date,Site,Surveyor,Transect,Meter,Rugosity cm
8/26/17,Snapper Point,AC,1,10,138
8/26/17,Snapper Point,AC,2,1,156
8/26/17,Snapper Point,AC,2,2,150
8/26/17,Snapper Point,AC,2,3,143
8/26/17,Snapper Point,AC,2,4,116
8/26/17,Snapper Point,AC,2,5,134
8/26/17,Snapper Point,AC,2,6,155
8/26/17,Snapper Point,AC,2,7,138
8/26/17,Snapper Point,AC,2,8,165
8/26/17,Snapper Point,AC,2,9,103
8/26/17,Snapper Point,AC,2,10,110
8/26/17,Snapper Point,AC,3,1,135
8/26/17,Snapper Point,AC,3,2,108
8/26/17,Snapper Point,AC,3,3,114
8/26/17,Snapper Point,AC,3,4,143
8/26/17,Snapper Point,AC,3,5,125
8/26/17,Snapper Point,AC,3,6,139
8/26/17,Snapper Point,AC,3,7,197
8/26/17,Snapper Point,AC,3,8,117
8/26/17,Snapper Point,AC,3,9,109
8/26/17,Snapper Point,AC,3,10,106
8/26/17,Snapper Point,AC,4,1,220
8/26/17,Snapper Point,AC,4,2,130
8/26/17,Snapper Point,AC,4,3,142
8/26/17,Snapper Point,AC,4,4,122
8/26/17,Snapper Point,AC,4,5,113
8/26/17,Snapper Point,AC,4,6,124
8/26/17,Snapper Point,AC,4,7,136
8/26/17,Snapper Point,AC,4,8,128
8/26/17,Snapper Point,AC,4,9,187
8/26/17,Snapper Point,AC,4,10,134
